vehicle_type,fault_code,vehicle_age_months,mileage_km,prior_services,technician_notes,replaced_part,root_cause
ICE,P0480,33,53158,6,"Customer reported power loss on acceleration. Checked cooling fan, found issue consistent with cooling fan fault.",Cooling fan,Cooling fan fault
Scooter,P0304,2,44024,6,Bike came in with battery draining fast. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
Scooter,P0115,4,55495,5,Bike came in with unusual noise. coolant temp sensor fault suspected after inspection.,Coolant temp sensor,Coolant temp sensor fault
Scooter,P0563,4,34663,3,"Customer reported reduced range. Checked voltage regulator, found issue consistent with voltage regulator fault.",Voltage regulator,Voltage regulator fault
Scooter,P0720,38,32286,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0730,19,40159,4,"Customer reported unusual noise. Checked tcu, found issue consistent with transmission control fault.",TCU,Transmission control fault
ICE,P0171,18,24740,2,Routine service flagged slow charging. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
EV,EV0501,51,32928,4,"Customer reported rough idling. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
Scooter,P0720,36,15401,1,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0101,53,10932,1,Bike came in with slow charging. bms communication fault suspected after inspection.,BMS unit,BMS communication fault
Scooter,P0120,60,57340,7,"Customer reported warning light on dash. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0120,44,13142,2,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0340,52,51195,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0130,47,28137,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0191,41,41875,6,Routine service flagged unusual noise. Root cause traced to fuel pressure sensor fault.,Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0715,7,36239,4,"No prior complaints, code triggered during diagnostic scan. input speed sensor fault confirmed on teardown.",Input speed sensor,Input speed sensor fault
ICE,P0620,29,55787,6,"No prior complaints, code triggered during diagnostic scan. alternator fault confirmed on teardown.",Alternator,Alternator fault
Scooter,P0105,5,4323,1,"Customer reported warning light on dash. Checked map sensor, found issue consistent with map sensor fault.",MAP sensor,MAP sensor fault
ICE,P0120,16,1873,0,Routine service flagged reduced range. Root cause traced to throttle position sensor fault.,Throttle position sensor,Throttle position sensor fault
Scooter,P0715,34,9933,2,"No prior complaints, code triggered during diagnostic scan. input speed sensor fault confirmed on teardown.",Input speed sensor,Input speed sensor fault
ICE,P0301,47,31101,4,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
ICE,P0507,4,54337,7,Routine service flagged power loss on acceleration. Root cause traced to idle air control valve fault.,Idle air control valve,Idle air control valve fault
Scooter,P0563,21,4482,1,"Customer reported warning light on dash. Checked voltage regulator, found issue consistent with voltage regulator fault.",Voltage regulator,Voltage regulator fault
Scooter,P0325,16,50485,7,"No prior complaints, code triggered during diagnostic scan. knock sensor fault confirmed on teardown.",Knock sensor,Knock sensor fault
EV,EV0101,26,26639,2,Bike came in with unusual noise. bms communication fault suspected after inspection.,BMS unit,BMS communication fault
ICE,P0420,38,46151,6,Bike came in with unusual noise. catalytic converter worn suspected after inspection.,Catalytic converter,Catalytic converter worn
ICE,P0141,18,46413,6,"Customer reported warning light on dash. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0340,37,49055,7,"No prior complaints, code triggered during diagnostic scan. cam position sensor fault confirmed on teardown.",Cam position sensor,Cam position sensor fault
EV,EV0311,6,12965,1,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
ICE,P0455,4,5801,0,Bike came in with battery draining fast. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
EV,EV0311,33,29655,2,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
EV,EV0101,43,46922,6,Bike came in with unusual noise. bms communication fault suspected after inspection.,BMS unit,BMS communication fault
ICE,P0087,37,4269,0,Bike came in with battery draining fast. fuel pressure regulator fault suspected after inspection.,Fuel pressure regulator,Fuel pressure regulator fault
Scooter,P0335,4,53954,5,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0505,41,22203,1,Routine service flagged slow charging. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
EV,EV0501,43,26375,2,"Customer reported slow charging. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
ICE,P0700,60,53191,5,Routine service flagged power loss on acceleration. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0115,13,30650,4,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0310,17,58404,6,Bike came in with warning light on dash. onboard charger fault suspected after inspection.,Onboard charger,Onboard charger fault
Scooter,P0100,44,51390,5,Bike came in with reduced range. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
EV,B1318,41,29363,2,"Customer reported warning light on dash. Checked 12v battery, found issue consistent with 12v battery weak.",12V battery,12V battery weak
ICE,P0141,49,4174,0,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0100,19,29866,2,Routine service flagged power loss on acceleration. Root cause traced to maf sensor dirty.,MAF sensor,MAF sensor dirty
ICE,P0335,11,13879,0,"No prior complaints, code triggered during diagnostic scan. crank position sensor fault confirmed on teardown.",Crank position sensor,Crank position sensor fault
EV,P0A80,46,18240,2,Routine service flagged slow charging. Root cause traced to battery pack degraded.,Battery pack,Battery pack degraded
ICE,P0420,14,54299,6,"Customer reported rough idling. Checked catalytic converter, found issue consistent with catalytic converter worn.",Catalytic converter,Catalytic converter worn
Scooter,P0620,36,34245,3,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0705,53,4119,0,Bike came in with power loss on acceleration. gear sensor fault suspected after inspection.,Gear sensor,Gear sensor fault
Scooter,P0172,52,9890,1,Bike came in with rough idling. fuel pressure regulator fault suspected after inspection.,Fuel pressure regulator,Fuel pressure regulator fault
Scooter,P0620,44,31421,4,"No prior complaints, code triggered during diagnostic scan. alternator fault confirmed on teardown.",Alternator,Alternator fault
EV,EV0311,7,48342,7,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
ICE,P0440,52,2277,0,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,P0507,51,34231,4,Routine service flagged unusual noise. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
EV,EV0412,55,58747,8,Routine service flagged rough idling. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
ICE,P0100,57,41972,6,"No prior complaints, code triggered during diagnostic scan. maf sensor dirty confirmed on teardown.",MAF sensor,MAF sensor dirty
ICE,P0130,15,22124,2,"Customer reported unusual noise. Checked o2 sensor, found issue consistent with oxygen sensor fault.",O2 sensor,Oxygen sensor fault
EV,EV0412,45,51020,6,"Customer reported slow charging. Checked hv wiring/insulation, found issue consistent with hv isolation fault.",HV wiring/insulation,HV isolation fault
Scooter,P0505,33,33743,3,Bike came in with battery draining fast. throttle body dirty suspected after inspection.,Throttle body,Throttle body dirty
Scooter,P0563,2,28087,2,"No prior complaints, code triggered during diagnostic scan. alternator fault confirmed on teardown.",Alternator,Alternator fault
Scooter,P0105,22,45648,4,Routine service flagged unusual noise. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0088,40,8147,2,Bike came in with battery draining fast. fuel pressure regulator fault suspected after inspection.,Fuel pressure regulator,Fuel pressure regulator fault
Scooter,P0505,4,51887,7,Routine service flagged power loss on acceleration. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
Scooter,P0191,14,18495,1,Routine service flagged power loss on acceleration. Root cause traced to fuel pressure sensor fault.,Fuel pressure sensor,Fuel pressure sensor fault
ICE,P0335,4,34003,4,"No prior complaints, code triggered during diagnostic scan. crank position sensor fault confirmed on teardown.",Crank position sensor,Crank position sensor fault
Scooter,P0507,47,45196,4,"Customer reported battery draining fast. Checked idle air control valve, found issue consistent with idle air control valve fault.",Idle air control valve,Idle air control valve fault
ICE,P0130,35,28294,4,"Customer reported rough idling. Checked o2 sensor, found issue consistent with oxygen sensor fault.",O2 sensor,Oxygen sensor fault
ICE,P0563,36,48602,7,Routine service flagged reduced range. Root cause traced to voltage regulator fault.,Voltage regulator,Voltage regulator fault
ICE,P0562,7,8529,0,Bike came in with unusual noise. wiring corrosion suspected after inspection.,Wiring harness,Wiring corrosion
EV,EV0101,42,9438,0,"No prior complaints, code triggered during diagnostic scan. battery cell imbalance confirmed on teardown.",Battery module,Battery cell imbalance
ICE,P0171,20,53968,7,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
ICE,P0172,7,1959,1,"No prior complaints, code triggered during diagnostic scan. maf sensor dirty confirmed on teardown.",MAF sensor,MAF sensor dirty
Scooter,P0088,13,5699,0,"No prior complaints, code triggered during diagnostic scan. fuel pressure sensor fault confirmed on teardown.",Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0705,50,26093,3,"No prior complaints, code triggered during diagnostic scan. gear sensor fault confirmed on teardown.",Gear sensor,Gear sensor fault
EV,EV0412,26,35241,4,"No prior complaints, code triggered during diagnostic scan. hv isolation fault confirmed on teardown.",HV wiring/insulation,HV isolation fault
Scooter,P0505,35,16896,1,"Customer reported power loss on acceleration. Checked idle air control valve, found issue consistent with idle air control valve fault.",Idle air control valve,Idle air control valve fault
ICE,P0303,53,29501,3,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
Scooter,P0507,24,27698,3,Bike came in with battery draining fast. throttle body dirty suspected after inspection.,Throttle body,Throttle body dirty
ICE,P0171,20,40357,6,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
EV,EV0204,5,21570,2,Bike came in with rough idling. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
EV,EV0311,60,4783,1,"Customer reported reduced range. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
Scooter,P0730,34,16342,3,"Customer reported reduced range. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0480,37,30069,3,Bike came in with reduced range. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
Scooter,P0301,52,6021,1,Routine service flagged rough idling. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
EV,EV0205,13,27159,3,Routine service flagged battery draining fast. Root cause traced to motor phase wiring fault.,Motor phase wiring,Motor phase wiring fault
EV,EV0101,39,9725,1,"No prior complaints, code triggered during diagnostic scan. bms communication fault confirmed on teardown.",BMS unit,BMS communication fault
Scooter,P0620,19,32635,3,Routine service flagged warning light on dash. Root cause traced to alternator fault.,Alternator,Alternator fault
ICE,P0562,60,38005,4,Routine service flagged warning light on dash. Root cause traced to wiring corrosion.,Wiring harness,Wiring corrosion
Scooter,P0720,35,17083,2,"No prior complaints, code triggered during diagnostic scan. output speed sensor fault confirmed on teardown.",Output speed sensor,Output speed sensor fault
ICE,P0455,17,5024,1,"Customer reported slow charging. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
ICE,B1318,32,6408,0,Routine service flagged warning light on dash. Root cause traced to charging system fault.,Charging module,Charging system fault
ICE,P0325,42,37265,3,Bike came in with battery draining fast. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0120,32,3128,0,Routine service flagged warning light on dash. Root cause traced to throttle position sensor fault.,Throttle position sensor,Throttle position sensor fault
EV,P0A80,31,8061,0,"No prior complaints, code triggered during diagnostic scan. battery pack degraded confirmed on teardown.",Battery pack,Battery pack degraded
Scooter,P0171,36,3292,1,Bike came in with warning light on dash. vacuum leak suspected after inspection.,Vacuum hose,Vacuum leak
ICE,P0110,40,42079,6,"No prior complaints, code triggered during diagnostic scan. iat sensor fault confirmed on teardown.",IAT sensor,IAT sensor fault
EV,EV0412,21,13478,0,Bike came in with unusual noise. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
Scooter,P0172,45,22818,3,Routine service flagged unusual noise. Root cause traced to maf sensor dirty.,MAF sensor,MAF sensor dirty
Scooter,P0700,8,38758,5,Routine service flagged unusual noise. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0120,27,54630,6,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0700,54,15725,2,"No prior complaints, code triggered during diagnostic scan. transmission control fault confirmed on teardown.",TCU,Transmission control fault
EV,EV0412,28,7517,0,Routine service flagged slow charging. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
ICE,P0087,2,50345,7,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
Scooter,P0300,11,5119,1,Bike came in with reduced range. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0455,26,16763,2,Routine service flagged slow charging. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
Scooter,P0230,40,1829,0,Bike came in with battery draining fast. fuel pump relay fault suspected after inspection.,Fuel pump relay,Fuel pump relay fault
ICE,P0325,45,1015,0,Routine service flagged rough idling. Root cause traced to knock sensor fault.,Knock sensor,Knock sensor fault
ICE,P0230,21,29984,4,"Customer reported reduced range. Checked fuel pump relay, found issue consistent with fuel pump relay fault.",Fuel pump relay,Fuel pump relay fault
Scooter,P0620,2,5461,1,Bike came in with unusual noise. alternator fault suspected after inspection.,Alternator,Alternator fault
EV,B1318,60,9357,2,Bike came in with unusual noise. 12v battery weak suspected after inspection.,12V battery,12V battery weak
ICE,P0100,53,16281,3,"Customer reported power loss on acceleration. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0715,18,58885,8,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,B1318,15,49898,5,Routine service flagged reduced range. Root cause traced to 12v battery weak.,12V battery,12V battery weak
ICE,P0115,43,32373,4,Bike came in with warning light on dash. coolant temp sensor fault suspected after inspection.,Coolant temp sensor,Coolant temp sensor fault
Scooter,P0442,9,39351,4,Bike came in with warning light on dash. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
ICE,P0620,55,9570,0,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0110,42,16554,1,Bike came in with reduced range. iat sensor fault suspected after inspection.,IAT sensor,IAT sensor fault
EV,EV0204,3,51174,7,Bike came in with reduced range. coolant pump fault suspected after inspection.,Coolant pump,Coolant pump fault
Scooter,P0110,22,25106,2,Routine service flagged unusual noise. Root cause traced to iat sensor fault.,IAT sensor,IAT sensor fault
Scooter,P0135,44,18332,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0301,47,52461,7,Bike came in with warning light on dash. fuel injector clog suspected after inspection.,Fuel injector,Fuel injector clog
EV,P0A80,18,7672,0,Bike came in with warning light on dash. battery pack degraded suspected after inspection.,Battery pack,Battery pack degraded
EV,EV0101,24,11047,0,Bike came in with reduced range. bms communication fault suspected after inspection.,BMS unit,BMS communication fault
ICE,P0301,38,32617,4,"Customer reported battery draining fast. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0301,40,15606,1,Routine service flagged battery draining fast. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0171,23,23019,2,Routine service flagged warning light on dash. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
Scooter,P0191,10,51950,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,B1318,28,37341,3,Bike came in with reduced range. 12v battery weak suspected after inspection.,12V battery,12V battery weak
ICE,P0088,13,32297,5,"No prior complaints, code triggered during diagnostic scan. fuel pressure regulator fault confirmed on teardown.",Fuel pressure regulator,Fuel pressure regulator fault
EV,EV0204,32,35979,4,Bike came in with rough idling. motor controller overheat suspected after inspection.,Motor controller,Motor controller overheat
Scooter,P0172,22,14628,0,"No prior complaints, code triggered during diagnostic scan. fuel injector stuck open confirmed on teardown.",Fuel injector,Fuel injector stuck open
Scooter,P0420,45,49155,7,Routine service flagged battery draining fast. Root cause traced to catalytic converter worn.,Catalytic converter,Catalytic converter worn
ICE,P0562,23,31805,2,"No prior complaints, code triggered during diagnostic scan. wiring corrosion confirmed on teardown.",Wiring harness,Wiring corrosion
ICE,P0440,42,35883,3,Bike came in with reduced range. evap purge valve fault suspected after inspection.,EVAP purge valve,EVAP purge valve fault
Scooter,P0440,11,51122,7,Routine service flagged warning light on dash. Root cause traced to evap purge valve fault.,EVAP purge valve,EVAP purge valve fault
ICE,P0301,14,22469,3,"Customer reported power loss on acceleration. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
EV,P0A80,47,17564,1,Bike came in with slow charging. battery pack degraded suspected after inspection.,Battery pack,Battery pack degraded
ICE,P0130,2,43875,6,Bike came in with rough idling. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0171,15,54176,7,Bike came in with power loss on acceleration. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
ICE,P0507,52,26505,4,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
ICE,P0141,49,31997,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0230,52,15465,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0507,37,11579,2,Routine service flagged unusual noise. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
ICE,P0171,2,8935,2,Routine service flagged unusual noise. Root cause traced to maf sensor dirty.,MAF sensor,MAF sensor dirty
EV,EV0205,34,56885,6,Bike came in with reduced range. motor phase wiring fault suspected after inspection.,Motor phase wiring,Motor phase wiring fault
Scooter,P0562,13,8921,2,Routine service flagged battery draining fast. Root cause traced to wiring corrosion.,Wiring harness,Wiring corrosion
Scooter,P0480,13,57685,8,"Customer reported power loss on acceleration. Checked cooling fan, found issue consistent with cooling fan fault.",Cooling fan,Cooling fan fault
ICE,P0171,47,50036,5,Routine service flagged battery draining fast. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
ICE,P0130,11,16041,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0101,53,6905,1,"No prior complaints, code triggered during diagnostic scan. bms communication fault confirmed on teardown.",BMS unit,BMS communication fault
EV,EV0311,5,22713,1,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
EV,EV0412,60,27556,3,Bike came in with reduced range. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
EV,EV0102,50,25066,4,Bike came in with slow charging. regen braking control fault suspected after inspection.,Regen braking controller,Regen braking control fault
Scooter,P0730,4,35040,3,"No prior complaints, code triggered during diagnostic scan. transmission control fault confirmed on teardown.",TCU,Transmission control fault
ICE,P0130,11,27776,2,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0310,59,37410,3,Routine service flagged unusual noise. Root cause traced to charging port fault.,Charging port,Charging port fault
ICE,P0563,8,58238,6,Bike came in with unusual noise. alternator fault suspected after inspection.,Alternator,Alternator fault
ICE,P0700,7,50474,5,"Customer reported warning light on dash. Checked gear sensor, found issue consistent with gear sensor fault.",Gear sensor,Gear sensor fault
ICE,P0191,33,57989,6,"No prior complaints, code triggered during diagnostic scan. fuel pressure sensor fault confirmed on teardown.",Fuel pressure sensor,Fuel pressure sensor fault
ICE,P0507,49,6099,0,"No prior complaints, code triggered during diagnostic scan. throttle body dirty confirmed on teardown.",Throttle body,Throttle body dirty
Scooter,P0715,46,35341,3,"Customer reported rough idling. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
Scooter,P0172,49,7024,0,"Customer reported battery draining fast. Checked fuel pressure regulator, found issue consistent with fuel pressure regulator fault.",Fuel pressure regulator,Fuel pressure regulator fault
EV,EV0101,52,34234,4,"Customer reported warning light on dash. Checked bms unit, found issue consistent with bms communication fault.",BMS unit,BMS communication fault
EV,EV0311,45,2700,1,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
EV,EV0311,55,28466,4,"Customer reported rough idling. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
Scooter,P0303,22,13681,0,Routine service flagged reduced range. Root cause traced to fuel injector clog.,Fuel injector,Fuel injector clog
ICE,P0105,25,21932,3,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0171,57,57057,7,Bike came in with power loss on acceleration. fuel pump weak suspected after inspection.,Fuel pump,Fuel pump weak
EV,EV0311,1,32078,4,Bike came in with reduced range. main contactor fault suspected after inspection.,Main contactor,Main contactor fault
Scooter,P0105,59,24908,2,Routine service flagged warning light on dash. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0088,6,32977,5,Bike came in with slow charging. fuel pressure sensor fault suspected after inspection.,Fuel pressure sensor,Fuel pressure sensor fault
ICE,P0300,26,5855,0,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
EV,EV0501,15,48729,5,Bike came in with slow charging. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
ICE,P0115,54,58623,8,Routine service flagged unusual noise. Root cause traced to coolant temp sensor fault.,Coolant temp sensor,Coolant temp sensor fault
ICE,P0088,26,14166,2,"Customer reported rough idling. Checked fuel pressure regulator, found issue consistent with fuel pressure regulator fault.",Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0135,1,9910,2,"No prior complaints, code triggered during diagnostic scan. o2 sensor heater fault confirmed on teardown.",O2 sensor,O2 sensor heater fault
ICE,P0700,12,44569,4,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0340,9,14546,1,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0105,53,19617,1,Routine service flagged rough idling. Root cause traced to map sensor fault.,MAP sensor,MAP sensor fault
ICE,P0301,17,42174,5,Bike came in with reduced range. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
Scooter,P0300,25,54401,6,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
ICE,P0505,47,50630,6,Bike came in with warning light on dash. idle air control valve fault suspected after inspection.,Idle air control valve,Idle air control valve fault
Scooter,P0100,17,16104,2,"Customer reported unusual noise. Checked maf sensor, found issue consistent with maf sensor dirty.",MAF sensor,MAF sensor dirty
ICE,P0325,40,35662,5,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0720,16,46705,4,"No prior complaints, code triggered during diagnostic scan. output speed sensor fault confirmed on teardown.",Output speed sensor,Output speed sensor fault
Scooter,P0442,34,1181,0,"No prior complaints, code triggered during diagnostic scan. evap system leak confirmed on teardown.",EVAP hose/canister,EVAP system leak
EV,P0A80,19,49184,7,"Customer reported slow charging. Checked battery pack, found issue consistent with battery pack degraded.",Battery pack,Battery pack degraded
Scooter,P0507,8,10157,1,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
Scooter,P0715,51,45770,6,"No prior complaints, code triggered during diagnostic scan. input speed sensor fault confirmed on teardown.",Input speed sensor,Input speed sensor fault
ICE,P0507,59,28877,3,"Customer reported reduced range. Checked throttle body, found issue consistent with throttle body dirty.",Throttle body,Throttle body dirty
Scooter,P0715,31,55660,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0191,22,47288,5,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0087,19,53675,6,Bike came in with rough idling. fuel pump weak suspected after inspection.,Fuel pump,Fuel pump weak
ICE,P0303,13,32636,5,Bike came in with warning light on dash. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0115,16,32289,3,Bike came in with battery draining fast. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0302,27,49505,6,Routine service flagged reduced range. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0304,41,4548,0,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
Scooter,P0442,30,38008,5,"Customer reported battery draining fast. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
ICE,P0303,47,49444,5,Routine service flagged reduced range. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
ICE,P0130,59,52328,6,"Customer reported power loss on acceleration. Checked o2 sensor, found issue consistent with oxygen sensor fault.",O2 sensor,Oxygen sensor fault
ICE,P0301,9,6329,0,Bike came in with reduced range. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
Scooter,P0480,4,56587,8,Routine service flagged warning light on dash. Root cause traced to cooling fan fault.,Cooling fan,Cooling fan fault
Scooter,P0300,54,11073,1,"Customer reported rough idling. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0442,5,39547,5,Routine service flagged power loss on acceleration. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
Scooter,P0705,28,25992,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0501,9,42205,6,"Customer reported power loss on acceleration. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
EV,EV0501,21,4615,0,Bike came in with slow charging. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
Scooter,P0335,59,31724,2,Routine service flagged reduced range. Root cause traced to crank position sensor fault.,Crank position sensor,Crank position sensor fault
EV,EV0205,51,20381,1,Bike came in with unusual noise. motor phase wiring fault suspected after inspection.,Motor phase wiring,Motor phase wiring fault
Scooter,P0562,52,49713,7,"Customer reported battery draining fast. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
ICE,P0301,37,35215,4,Routine service flagged rough idling. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
ICE,P0505,52,22815,3,Bike came in with power loss on acceleration. idle air control valve fault suspected after inspection.,Idle air control valve,Idle air control valve fault
ICE,P0135,12,13224,1,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0135,3,26243,2,"No prior complaints, code triggered during diagnostic scan. o2 sensor heater fault confirmed on teardown.",O2 sensor,O2 sensor heater fault
